timestamp,rx_byte,tx_byte
1546552023.167783,0,0
1546552028.17286,888,622
1546552033.177947,7512,2793
1546552038.183041,253,369
1546552043.18813,132,197
1546552048.189902,198,291
1546552053.193216,1608,30867
1546552058.19832,240,333
1546552063.203409,400,4659
1546552068.208504,198,291
1546552073.211057,132,197
1546552078.216144,198,291
1546552083.221256,229,319
1546552088.22635,198,291
1546552093.230326,6807,2334
1546552098.235432,198,294
1546552103.240528,187,275
1546552108.245631,198,291
1546552113.249913,132,197
1546552118.251786,198,291
1546552123.253908,187,275
1546552128.258995,240,333
1546552133.261933,5369,3365
1546552138.267018,198,291
1546552143.272088,187,277
1546552148.277189,198,291
1546552153.282279,6807,2334
1546552158.287414,198,291
1546552163.292523,325,479
1546552168.297627,198,291
1546552173.30272,174,239
1546552178.307814,198,291
