NAMESPACE      NAME                                                              READY     STATUS      RESTARTS   AGE       IP            NODE                       NOMINATED NODE
default        httpbin-1546555284066-f455f64c4-bkj4h                             2/2       Running     0          57m       10.244.1.23   aks-agentpool-10685398-1   <none>
default        httpbin-1546555286178-f455f64c4-jsmgv                             2/2       Running     0          57m       10.244.3.28   aks-agentpool-10685398-4   <none>
default        httpbin-1546555288295-f455f64c4-n4s8v                             2/2       Running     0          57m       10.244.4.31   aks-agentpool-10685398-2   <none>
default        httpbin-1546555290351-f455f64c4-7frb6                             2/2       Running     0          57m       10.244.2.22   aks-agentpool-10685398-3   <none>
default        httpbin-1546555292436-f455f64c4-kkg68                             2/2       Running     0          57m       10.244.1.24   aks-agentpool-10685398-1   <none>
default        httpbin-1546555294648-f455f64c4-bbnrh                             2/2       Running     0          57m       10.244.3.29   aks-agentpool-10685398-4   <none>
default        httpbin-1546555296795-f455f64c4-86nbl                             2/2       Running     0          57m       10.244.4.32   aks-agentpool-10685398-2   <none>
default        httpbin-1546555298894-f455f64c4-gzpls                             2/2       Running     0          57m       10.244.2.23   aks-agentpool-10685398-3   <none>
default        httpbin-1546555301014-f455f64c4-9jrvj                             2/2       Running     0          57m       10.244.1.25   aks-agentpool-10685398-1   <none>
default        httpbin-1546555303143-f455f64c4-wskj8                             2/2       Running     0          57m       10.244.3.30   aks-agentpool-10685398-4   <none>
default        httpbin-1546555305293-f455f64c4-zcr8w                             2/2       Running     0          57m       10.244.4.33   aks-agentpool-10685398-2   <none>
default        httpbin-1546555307351-f455f64c4-qrnvq                             2/2       Running     0          57m       10.244.2.24   aks-agentpool-10685398-3   <none>
default        httpbin-1546555309478-f455f64c4-zgzdt                             2/2       Running     0          57m       10.244.3.31   aks-agentpool-10685398-4   <none>
default        httpbin-1546555311575-f455f64c4-9ffxw                             2/2       Running     0          57m       10.244.2.25   aks-agentpool-10685398-3   <none>
default        httpbin-1546555313651-f455f64c4-fszhz                             2/2       Running     0          57m       10.244.4.34   aks-agentpool-10685398-2   <none>
default        httpbin-1546555315786-f455f64c4-qbkgr                             2/2       Running     0          57m       10.244.4.35   aks-agentpool-10685398-2   <none>
default        httpbin-1546555317884-f455f64c4-q5t5l                             2/2       Running     0          57m       10.244.2.26   aks-agentpool-10685398-3   <none>
default        httpbin-1546555320044-f455f64c4-xpzh6                             2/2       Running     0          57m       10.244.1.26   aks-agentpool-10685398-1   <none>
default        httpbin-1546555322133-f455f64c4-2zh7c                             2/2       Running     0          56m       10.244.3.32   aks-agentpool-10685398-4   <none>
default        httpbin-1546555324428-f455f64c4-rszfp                             2/2       Running     0          56m       10.244.1.27   aks-agentpool-10685398-1   <none>
istio-system   istio-citadel-7dd558dcf-bxn8r                                     1/1       Running     0          10h       10.244.0.21   aks-agentpool-10685398-0   <none>
istio-system   istio-cleanup-secrets-vt7lv                                       0/1       Completed   0          10h       10.244.0.14   aks-agentpool-10685398-0   <none>
istio-system   istio-egressgateway-88887488d-59g8k                               1/1       Running     0          10h       10.244.0.16   aks-agentpool-10685398-0   <none>
istio-system   istio-galley-787758f7b8-h76hn                                     1/1       Running     0          10h       10.244.0.24   aks-agentpool-10685398-0   <none>
istio-system   istio-ingressgateway-58c77897cc-ftnfj                             1/1       Running     0          10h       10.244.0.17   aks-agentpool-10685398-0   <none>
istio-system   istio-pilot-868cdfb5f7-54htq                                      2/2       Running     0          10h       10.244.0.19   aks-agentpool-10685398-0   <none>
istio-system   istio-policy-56c4579578-9gknp                                     2/2       Running     0          10h       10.244.0.18   aks-agentpool-10685398-0   <none>
istio-system   istio-security-post-install-jkcjc                                 0/1       Completed   2          10h       10.244.0.15   aks-agentpool-10685398-0   <none>
istio-system   istio-sidecar-injector-d7f98d9cb-82l2d                            1/1       Running     0          10h       10.244.0.23   aks-agentpool-10685398-0   <none>
istio-system   istio-telemetry-7fb48dc68b-9s2hb                                  2/2       Running     0          6m        10.244.4.36   aks-agentpool-10685398-2   <none>
istio-system   istio-telemetry-7fb48dc68b-sk6kk                                  2/2       Running     0          10h       10.244.0.20   aks-agentpool-10685398-0   <none>
istio-system   prometheus-76db5fddd5-9cv5g                                       0/1       Evicted     0          1h        <none>        aks-agentpool-10685398-2   <none>
istio-system   prometheus-76db5fddd5-hnftn                                       1/1       Running     0          1h        10.244.1.22   aks-agentpool-10685398-1   <none>
istio-system   prometheus-76db5fddd5-ssrml                                       0/1       Evicted     0          10h       <none>        aks-agentpool-10685398-0   <none>
kube-system    addon-http-application-routing-default-http-backend-5ccb95rhb4k   1/1       Running     0          11h       10.244.0.10   aks-agentpool-10685398-0   <none>
kube-system    addon-http-application-routing-external-dns-647d74b995-zlnv6      1/1       Running     0          11h       10.244.0.5    aks-agentpool-10685398-0   <none>
kube-system    addon-http-application-routing-nginx-ingress-controller-ffkktq2   1/1       Running     4          11h       10.244.0.7    aks-agentpool-10685398-0   <none>
kube-system    heapster-64cbd99d65-vqjrs                                         2/2       Running     0          1h        10.244.0.37   aks-agentpool-10685398-0   <none>
kube-system    kube-dns-v20-7c7d7d4c66-2svlz                                     4/4       Running     0          11h       10.244.0.8    aks-agentpool-10685398-0   <none>
kube-system    kube-dns-v20-7c7d7d4c66-btf75                                     4/4       Running     0          11h       10.244.0.11   aks-agentpool-10685398-0   <none>
kube-system    kube-proxy-kclph                                                  1/1       Running     0          1h        10.240.0.6    aks-agentpool-10685398-3   <none>
kube-system    kube-proxy-mc8lj                                                  1/1       Running     0          1h        10.240.0.5    aks-agentpool-10685398-4   <none>
kube-system    kube-proxy-rzkkg                                                  1/1       Running     0          1h        10.240.0.7    aks-agentpool-10685398-1   <none>
kube-system    kube-proxy-xm55c                                                  1/1       Running     0          1h        10.240.0.4    aks-agentpool-10685398-0   <none>
kube-system    kube-proxy-xqwx7                                                  1/1       Running     0          1h        10.240.0.8    aks-agentpool-10685398-2   <none>
kube-system    kube-svc-redirect-5t8tz                                           2/2       Running     0          1h        10.240.0.8    aks-agentpool-10685398-2   <none>
kube-system    kube-svc-redirect-6vw49                                           2/2       Running     0          1h        10.240.0.5    aks-agentpool-10685398-4   <none>
kube-system    kube-svc-redirect-72lxf                                           2/2       Running     0          11h       10.240.0.4    aks-agentpool-10685398-0   <none>
kube-system    kube-svc-redirect-7gsrx                                           2/2       Running     0          1h        10.240.0.7    aks-agentpool-10685398-1   <none>
kube-system    kube-svc-redirect-jpsfm                                           2/2       Running     0          1h        10.240.0.6    aks-agentpool-10685398-3   <none>
kube-system    kubernetes-dashboard-77cbf68fd7-vv2pv                             1/1       Running     0          11h       10.244.0.9    aks-agentpool-10685398-0   <none>
kube-system    metrics-server-5cbc77f79f-46b5c                                   1/1       Running     1          11h       10.244.0.3    aks-agentpool-10685398-0   <none>
kube-system    omsagent-cmqxn                                                    1/1       Running     0          11h       10.244.0.12   aks-agentpool-10685398-0   <none>
kube-system    omsagent-f8jnz                                                    1/1       Running     0          1h        10.244.1.2    aks-agentpool-10685398-1   <none>
kube-system    omsagent-p784p                                                    1/1       Running     0          1h        10.244.3.2    aks-agentpool-10685398-4   <none>
kube-system    omsagent-rs-5b94bc797f-zl7mk                                      1/1       Running     0          11h       10.244.0.6    aks-agentpool-10685398-0   <none>
kube-system    omsagent-z5qs6                                                    1/1       Running     0          1h        10.244.4.2    aks-agentpool-10685398-2   <none>
kube-system    omsagent-z9lgh                                                    1/1       Running     0          1h        10.244.2.2    aks-agentpool-10685398-3   <none>
kube-system    tunnelfront-79f7c94f44-vfddm                                      1/1       Running     0          11h       10.244.0.2    aks-agentpool-10685398-0   <none>
