NAMESPACE      NAME                                                  TYPE           CLUSTER-IP     EXTERNAL-IP      PORT(S)                                                                                                                   AGE
default        httpbin-1546555284066                                 ClusterIP      10.0.11.22     <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555286178                                 ClusterIP      10.0.107.51    <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555288295                                 ClusterIP      10.0.9.122     <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555290351                                 ClusterIP      10.0.95.113    <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555292436                                 ClusterIP      10.0.132.125   <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555294648                                 ClusterIP      10.0.90.202    <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555296795                                 ClusterIP      10.0.240.152   <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555298894                                 ClusterIP      10.0.18.44     <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555301014                                 ClusterIP      10.0.161.65    <none>           8000/TCP                                                                                                                  57m
default        httpbin-1546555303143                                 ClusterIP      10.0.208.202   <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555305293                                 ClusterIP      10.0.174.180   <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555307351                                 ClusterIP      10.0.84.142    <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555309478                                 ClusterIP      10.0.246.159   <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555311575                                 ClusterIP      10.0.219.231   <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555313651                                 ClusterIP      10.0.76.19     <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555315786                                 ClusterIP      10.0.46.142    <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555317884                                 ClusterIP      10.0.193.220   <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555320044                                 ClusterIP      10.0.1.68      <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555322133                                 ClusterIP      10.0.158.25    <none>           8000/TCP                                                                                                                  56m
default        httpbin-1546555324428                                 ClusterIP      10.0.193.128   <none>           8000/TCP                                                                                                                  56m
default        kubernetes                                            ClusterIP      10.0.0.1       <none>           443/TCP                                                                                                                   57m
istio-system   istio-citadel                                         ClusterIP      10.0.144.25    <none>           8060/TCP,9093/TCP                                                                                                         10h
istio-system   istio-egressgateway                                   ClusterIP      10.0.139.146   <none>           80/TCP,443/TCP                                                                                                            10h
istio-system   istio-galley                                          ClusterIP      10.0.69.231    <none>           443/TCP,9093/TCP                                                                                                          10h
istio-system   istio-ingressgateway                                  LoadBalancer   10.0.32.159    40.78.130.204    80:31380/TCP,443:31390/TCP,31400:31400/TCP,15011:31661/TCP,8060:32695/TCP,853:31046/TCP,15030:30887/TCP,15031:30746/TCP   10h
istio-system   istio-pilot                                           ClusterIP      10.0.229.29    <none>           15010/TCP,15011/TCP,8080/TCP,9093/TCP                                                                                     10h
istio-system   istio-policy                                          ClusterIP      10.0.69.195    <none>           9091/TCP,15004/TCP,9093/TCP                                                                                               10h
istio-system   istio-sidecar-injector                                ClusterIP      10.0.95.163    <none>           443/TCP                                                                                                                   10h
istio-system   istio-telemetry                                       ClusterIP      10.0.183.62    <none>           9091/TCP,15004/TCP,9093/TCP,42422/TCP                                                                                     10h
istio-system   prometheus                                            ClusterIP      10.0.5.32      <none>           9090/TCP                                                                                                                  10h
kube-system    addon-http-application-routing-default-http-backend   ClusterIP      10.0.64.45     <none>           80/TCP                                                                                                                    11h
kube-system    addon-http-application-routing-nginx-ingress          LoadBalancer   10.0.15.232    104.43.255.250   80:31568/TCP,443:32049/TCP                                                                                                11h
kube-system    heapster                                              ClusterIP      10.0.133.87    <none>           80/TCP                                                                                                                    11h
kube-system    kube-dns                                              ClusterIP      10.0.0.10      <none>           53/UDP,53/TCP                                                                                                             11h
kube-system    kubernetes-dashboard                                  ClusterIP      10.0.120.171   <none>           80/TCP                                                                                                                    11h
kube-system    metrics-server                                        ClusterIP      10.0.250.197   <none>           443/TCP                                                                                                                   11h
